product_id,name,category,price,description,stock_quantity,brand,sku,rating,reviews_count
13,Air Purifier for Home,Home & Kitchen,249.99,"HEPA air purifier with 3-stage filtration. Covers rooms up to 500 sq ft. Quiet operation with night mode.",60,AirClean,AC-AP-001,4.6,1876
14,Smartphone Case with Stand,Accessories,19.99,"Protective phone case with built-in kickstand. Shock-absorbing design. Available for all major phone models.",500,ProtectPro,PP-CS-001,4.1,3421
15,Protein Powder - Vanilla,Sports & Outdoors,39.99,"Whey protein powder with 25g protein per serving. Low sugar, great taste. Perfect for post-workout recovery.",400,FitFuel,FF-PP-VAN,4.4,2890
16,LED Desk Lamp,Home & Kitchen,59.99,"Adjustable LED desk lamp with 5 brightness levels and 3 color temperatures. USB charging port included.",220,LightWorks,LW-DL-001,4.5,1234
17,Backpack - Travel Edition,Accessories,79.99,"Durable travel backpack with laptop compartment and multiple pockets. Water-resistant material. TSA-friendly design.",175,TravelGear,TG-BP-001,4.6,1987
18,Skincare Set - 3 Piece,Beauty & Personal Care,89.99,"Complete skincare routine: cleanser, toner, and moisturizer. All-natural ingredients. Suitable for all skin types.",120,GlowSkin,GS-SS-001,4.5,1567
19,Gaming Mouse,Electronics,69.99,"High-precision gaming mouse with RGB lighting. 12,000 DPI sensor. Programmable buttons for competitive gaming.",190,GameTech,GT-GM-001,4.7,2345
20,Winter Parka - Men's,Clothing,199.99,"Insulated winter parka rated for -20°F. Waterproof and windproof. Multiple pockets and adjustable hood.",95,WarmWear,WW-PK-001,4.6,876
21,Stand Mixer - Professional,Home & Kitchen,349.99,"5.5-quart stand mixer with 10-speed control. Includes dough hook, whisk, and paddle attachments. Powerful motor for heavy-duty mixing.",40,KitchenPro,KP-SM-001,4.7,1123
22,Perfume - Signature Scent,Beauty & Personal Care,129.99,"Luxury fragrance with notes of jasmine, vanilla, and sandalwood. Long-lasting formula. Elegant bottle design.",200,ScentLux,SL-PF-001,4.4,987
23,Wireless Earbuds Pro,Electronics,179.99,"True wireless earbuds with active noise cancellation. 8-hour battery with charging case. Crystal-clear call quality.",250,AudioTech,ATH-WE-001,4.6,3456
24,High-Waisted Leggings,Clothing,39.99,"Compression leggings with high-waisted design. Moisture-wicking fabric. Perfect for workouts or casual wear.",320,ActiveWear,AW-LG-001,4.5,2134
25,Robot Vacuum Cleaner,Home & Kitchen,299.99,"Smart robot vacuum with app control and mapping. Self-emptying base. Works on carpets and hard floors.",55,CleanBot,CB-RV-001,4.6,1876
26,Leather Wallet - RFID Blocking,Accessories,49.99,"Genuine leather wallet with RFID blocking technology. Multiple card slots and cash compartment. Slim design.",280,SecureStyle,SS-WL-001,4.4,1234
27,Vitamin C Serum,Beauty & Personal Care,34.99,"Brightening vitamin C serum with hyaluronic acid. Reduces dark spots and evens skin tone. Dermatologist tested.",350,GlowSkin,GS-VC-001,4.5,2345
28,4K Ultra HD TV - 55 inch,Electronics,699.99,"55-inch 4K Smart TV with HDR10. Voice control enabled. Multiple streaming apps pre-installed.",30,ViewTech,VT-TV-55,4.7,987
29,Champagne Flutes Set - 6 Piece,Home & Kitchen,79.99,"Crystal champagne flutes with elegant design. Lead-free crystal. Perfect for special occasions.",120,LuxuryGlass,LG-CF-001,4.5,567
30,Baseball Cap - Adjustable,Accessories,24.99,"Classic baseball cap with adjustable strap. Breathable fabric. Embroidered logo. One size fits all.",450,CasualCap,CC-BC-001,4.2,1890

